ID	ID.1	baseMean	log2FoldChange	padj	Label	Level
1124	GPR137B	657.2	-0.5	0.002886	-	NoDiff
1125	MFAP2	671.5	0.6	0.002886	-	NoDiff
1126	TANC2	2163.1	-0.8	0.002887	-	NoDiff
1127	USP53	8742.5	-2.4	0.002913	-	groupB UP
1128	PRR13	1768	-0.4	0.002913	-	NoDiff
1129	SERTM2	6.5	-5.5	0.002913	-	groupB UP
1130	FBLN5	9355.6	-0.3	0.002941	-	NoDiff
1131	AFAP1	2107.1	0.6	0.002955	-	NoDiff
1132	NBPF1	917.5	0.6	0.002959	-	NoDiff
1133	STX6	1002.2	-0.4	0.002964	-	NoDiff
1134	RILPL2	722.9	-0.5	0.003006	-	NoDiff
1135	NUP93	605.6	-0.4	0.003027	-	NoDiff
1136	RASL12	1045.8	1	0.003027	-	groupA UP
1137	FOXP1	1788.8	0.4	0.003027	-	NoDiff
1138	EMP3	2253.7	0.5	0.003027	-	NoDiff
1139	APOOL	595.2	-0.7	0.003027	-	NoDiff
1140	CXCL16	168.8	1	0.003027	-	groupA UP
1141	ARHGAP42	135.5	1	0.003027	-	groupA UP
1142	SERPINB9	194.9	-0.6	0.003027	-	NoDiff
1143	MYO1C	8243.7	-0.5	0.003027	-	NoDiff
1144	MYOSLID	10.2	-2.7	0.003027	-	groupB UP
1145	AC102945.2	125.8	-0.8	0.003027	-	NoDiff
1146	AC134043.2	76	-1.5	0.003027	-	groupB UP
1147	BEX3	2904.1	-0.4	0.00304	-	NoDiff
1148	USP47	2868.9	-0.5	0.003044	-	NoDiff
1149	FBRSL1	492.2	-0.6	0.003048	-	NoDiff
1150	RASL10B	142	-1	0.003088	-	groupB UP
1151	CFAP69	255.8	-0.9	0.003114	-	NoDiff
1152	TXLNA	3813.4	-0.4	0.003115	-	NoDiff
1153	TSKU	1021.4	-0.9	0.003115	-	NoDiff
1154	SQSTM1	17267.1	0.6	0.003148	-	NoDiff
1155	ARHGEF3	557.5	0.9	0.003148	-	NoDiff
1156	IGF1R	4560.7	-0.5	0.003151	-	NoDiff
1157	QPCT	344.1	-1.1	0.003153	-	groupB UP
1158	IVNS1ABP	729.7	0.6	0.003215	-	NoDiff
1159	AC078850.1	7.6	-3.5	0.003225	-	groupB UP
1160	KLHL38	42.4	-1	0.003228	-	groupB UP
1161	RFLNB	1164.2	-0.7	0.003235	-	NoDiff
1162	CAMK4	84.5	1.7	0.003257	-	groupA UP
1163	CASC15	98.1	1.2	0.003263	-	groupA UP
1164	MCTP1	156.3	-1.7	0.003275	-	groupB UP
1165	TEAD1	8342.3	-0.7	0.003282	-	NoDiff
1166	MCM2	162.8	0.6	0.003294	-	NoDiff
1167	FGF22	10.8	-2.3	0.003329	-	groupB UP
1168	OSGEP	296.5	0.4	0.003353	-	NoDiff
1169	CMTM4	511.9	-0.7	0.003358	-	NoDiff
1170	ENTPD1	906.5	0.5	0.003359	-	NoDiff
1171	ZBTB12	120.1	0.8	0.003369	-	NoDiff
1172	RAB29	1198.9	-0.4	0.003381	-	NoDiff
1173	MMS22L	208.8	0.5	0.003384	-	NoDiff
1174	MBNL1	6040	-0.7	0.003402	-	NoDiff
1175	NLRP1	1512.9	0.5	0.003426	-	NoDiff
1176	LBH	12927.8	-1.3	0.003427	-	groupB UP
1177	LPCAT3	948.8	-0.4	0.003434	-	NoDiff
1178	LRRC25	11.5	2.3	0.003435	-	groupA UP
1179	TBKBP1	454.1	-0.4	0.003435	-	NoDiff
1180	SLC35F6	1050.2	-0.3	0.003435	-	NoDiff
1181	PIEZO2	151.1	2.2	0.003441	-	groupA UP
1182	FSTL1	69742.6	-0.8	0.003481	-	NoDiff
1183	GPC4	465	-0.9	0.00351	-	NoDiff
1184	SGCB	3069.8	-0.5	0.00351	-	NoDiff
1185	PYCR2	709.9	-0.4	0.003519	-	NoDiff
1186	EYA1	100.8	0.8	0.003521	-	NoDiff
1187	MICAL1	1318.2	-0.4	0.00355	-	NoDiff
1188	PLEKHA8	467	-0.6	0.003561	-	NoDiff
1189	DIAPH2	1291.9	-0.6	0.003576	-	NoDiff
1190	ADRA2A	40.8	2.3	0.003583	-	groupA UP
1191	SOCS1	222	1.1	0.003616	-	groupA UP
1192	OAS2	78.3	0.9	0.003619	-	NoDiff
1193	GLUD1	2926.3	-0.2	0.003631	-	NoDiff
1194	ATAD3B	263.6	-0.5	0.003681	-	NoDiff
1195	RBFOX2	5507.4	0.4	0.003682	-	NoDiff
1196	SAMD8	1554.9	-0.5	0.003682	-	NoDiff
1197	SCN7A	5014.7	-1.4	0.00369	-	groupB UP
1198	CEBPG	380.3	0.6	0.00369	-	NoDiff
1199	DLAT	465.2	-0.4	0.003692	-	NoDiff
1200	TPD52L2	3761.6	-0.3	0.003702	-	NoDiff
1201	LAMC1	33707.9	-0.6	0.003735	-	NoDiff
1202	EVL	857.3	0.5	0.003735	-	NoDiff
1203	PIGA	172.3	-0.9	0.003818	-	NoDiff
1204	CHDH	99.1	1.5	0.003847	-	groupA UP
1205	ABCC3	412.6	-1	0.003847	-	groupB UP
1206	ACTR3	3631	-0.5	0.003853	-	NoDiff
1207	KLC1	2457.1	-0.3	0.003859	-	NoDiff
1208	DCAF1	634	-0.4	0.003923	-	NoDiff
1209	BRCA2	75.9	1.4	0.003928	-	groupA UP
1210	NR2F2	3199.2	-0.8	0.003939	-	NoDiff
1211	COMMD9	443.1	0.4	0.003945	-	NoDiff
1212	WDR1	9663.1	-0.7	0.003946	-	NoDiff
1213	PQLC1	722.4	-0.4	0.003946	-	NoDiff
1214	C20orf194	1549.1	-0.3	0.003949	-	NoDiff
1215	USP3	424.1	0.5	0.003949	-	NoDiff
1216	RAB11FIP1	1427.8	-1.4	0.003949	-	groupB UP
1217	IZUMO4	38.2	-1.2	0.003965	-	groupB UP
1218	PTPN12	1635.6	-0.3	0.003968	-	NoDiff
1219	RP2	428.9	-0.5	0.003987	-	NoDiff
1220	ACER3	334.8	-0.8	0.004001	-	NoDiff
1221	PRKACB	1018.3	0.5	0.004024	-	NoDiff
1222	NCAM2	1345	0.9	0.004024	-	NoDiff
1223	ZNF3	422.9	0.6	0.004024	-	NoDiff
1224	ERVMER34-1	8.2	-3	0.004039	-	groupB UP
1225	MEF2A	1744.9	-0.5	0.00404	-	NoDiff
1226	ATL3	3641.3	-0.7	0.004043	-	NoDiff
1227	PLCG2	30.6	-2.4	0.004122	-	groupB UP
1228	ITPR2	225.7	-0.9	0.004132	-	NoDiff
1229	SOBP	310.3	0.9	0.004157	-	NoDiff
1230	HPS4	639	0.4	0.004179	-	NoDiff
1231	MOSMO	462.8	-0.7	0.00424	-	NoDiff
1232	ST13	6291.1	0.3	0.004323	-	NoDiff
1233	BVES	438.7	-0.5	0.004323	-	NoDiff
1234	CNIH4	967.9	-0.4	0.004342	-	NoDiff
1235	HIPK2	2618	-0.6	0.004343	-	NoDiff
1236	LNPEP	1332.5	-0.5	0.004356	-	NoDiff
1237	ZDHHC13	202.7	-0.6	0.004356	-	NoDiff
1238	ITM2B	15117	-0.5	0.00436	-	NoDiff
1239	KIFC2	366.8	-0.7	0.004394	-	NoDiff
1240	ACVR1B	736.5	-0.3	0.004396	-	NoDiff
1241	IFT80	1548.4	0.5	0.004403	-	NoDiff
1242	ARHGAP31	332.9	0.8	0.004428	-	NoDiff
1243	CDS2	2101.9	-0.6	0.004428	-	NoDiff
1244	HEG1	12145.9	-0.7	0.004469	-	NoDiff
1245	SELENOM	2057.4	-0.2	0.004469	-	NoDiff
1246	KCNT2	141.6	-0.9	0.004488	-	NoDiff
1247	PSMD10	618.4	0.4	0.004529	-	NoDiff
1248	E2F7	39.1	1.4	0.004529	-	groupA UP
1249	TIPARP	391.1	-0.5	0.004548	-	NoDiff
1250	WBP4	393.3	-0.4	0.004614	-	NoDiff
1251	EVI5L	564.2	0.3	0.004621	-	NoDiff
1252	COPRS	791.8	0.5	0.004621	-	NoDiff
1253	TMC3-AS1	54	1.1	0.004621	-	groupA UP
1254	ABTB1	999.6	-0.5	0.004653	-	NoDiff
1255	MAP2K1	1328.1	-0.4	0.004653	-	NoDiff
1256	AP002414.2	13.7	2	0.004681	-	groupA UP
1257	RBM12	1145.2	-0.5	0.004708	-	NoDiff
1258	NONO	4977.7	0.4	0.004768	-	NoDiff
1259	ESYT2	5018.6	-0.5	0.004778	-	NoDiff
1260	DNM1P51	53.2	1.2	0.004782	-	groupA UP
1261	RFX7	802.7	0.6	0.004793	-	NoDiff
1262	FAM171A1	538.3	0.6	0.004811	-	NoDiff
1263	BRD4	1527.4	-0.4	0.004917	-	NoDiff
1264	CDC42SE2	387.4	-0.5	0.004917	-	NoDiff
1265	JAG2	32.1	1.4	0.004917	-	groupA UP
1266	PIK3CA	1158.6	-0.6	0.004931	-	NoDiff
1267	SLFN12	401.9	-0.7	0.004939	-	NoDiff
1268	SERBP1	5365.1	-0.3	0.004957	-	NoDiff
1269	AC022034.1	129.8	0.7	0.004968	-	NoDiff
1270	MYL12B	5780.8	-0.5	0.00498	-	NoDiff
1271	CCNL1	1735.5	-0.4	0.004981	-	NoDiff
1272	USP46	654	-0.6	0.005029	-	NoDiff
1273	CAB39L	601.5	-0.5	0.005036	-	NoDiff
1274	DET1	148.3	0.8	0.005076	-	NoDiff
1275	ZDHHC23	101.7	-1.5	0.005125	-	groupB UP
1276	AL162458.1	179.2	0.5	0.005127	-	NoDiff
1277	SSBP3	1519.2	-0.6	0.005145	-	NoDiff
1278	TDRD7	342.7	-0.5	0.005203	-	NoDiff
1279	ABCA4	39.4	-1.8	0.005272	-	groupB UP
1280	GSEC	72.9	0.8	0.005285	-	NoDiff
1281	GRIA3	419.4	0.6	0.005313	-	NoDiff
1282	SCARF1	32.4	-1.2	0.005331	-	groupB UP
1283	TPPP3	14.1	1.7	0.005331	-	groupA UP
1284	GPM6B	1155.9	-2.8	0.005375	-	groupB UP
1285	TBC1D4	688.1	-0.5	0.005385	-	NoDiff
1286	JAGN1	466.5	-0.3	0.005385	-	NoDiff
1287	TPM2	18761.5	-0.7	0.005385	-	NoDiff
1288	CLSPN	38.2	1.4	0.005422	-	groupA UP
1289	RGS4	118.5	1.5	0.005422	-	groupA UP
1290	AC015712.2	132.6	1.1	0.005422	-	groupA UP
1291	MTCH2	1233.2	-0.3	0.005443	-	NoDiff
1292	HIPK3	2567.1	-0.5	0.005447	-	NoDiff
1293	SLC38A1	2454.8	-0.7	0.005447	-	NoDiff
1294	PIK3CD	399.1	-0.7	0.005447	-	NoDiff
1295	UFSP2	372.5	0.4	0.00557	-	NoDiff
1296	TMEM100	37.4	-1.4	0.005633	-	groupB UP
1297	PPP5C	1009.5	-0.5	0.005635	-	NoDiff
1298	FTL	185535	0.6	0.005683	-	NoDiff
1299	ZNF622	517.3	-0.3	0.005705	-	NoDiff
1300	AL731577.2	76.3	-0.9	0.005705	-	NoDiff
1301	VAT1	12213.5	0.5	0.005777	-	NoDiff
1302	SOS2	932.1	-0.5	0.005795	-	NoDiff
1303	FAM160A1	7.5	-2.6	0.005848	-	groupB UP
1304	EFNA4	76.7	0.8	0.00586	-	NoDiff
1305	SIPA1	578.7	-0.6	0.00592	-	NoDiff
1306	ZNF226	325.2	0.6	0.005944	-	NoDiff
1307	PITPNB	1116.3	-0.2	0.005944	-	NoDiff
1308	B3GNT9	860.7	0.5	0.005955	-	NoDiff
1309	AGO1	994.1	0.4	0.005997	-	NoDiff
1310	FZD6	1386	-1	0.006008	-	groupB UP
1311	MIR34AHG	556.5	0.6	0.006008	-	NoDiff
1312	AL137026.1	10.1	1.9	0.006057	-	groupA UP
1313	UBASH3B	419.7	-1	0.006089	-	groupB UP
1314	ABR	4098	0.4	0.006095	-	NoDiff
1315	MLLT11	184.2	0.7	0.006095	-	NoDiff
1316	PLPPR4	39.3	2	0.006116	-	groupA UP
1317	CHP1	2429.9	-0.3	0.006116	-	NoDiff
1318	ACADS	519.8	-0.9	0.006149	-	NoDiff
1319	EPOP	38.3	-1	0.00616	-	groupB UP
1320	YBX3	4787.7	-0.4	0.006206	-	NoDiff
1321	MLYCD	306	-0.7	0.006206	-	NoDiff
1322	ABCC9	1094.3	-1	0.006261	-	groupB UP
1323	FOXF2	2230.8	0.7	0.006281	-	NoDiff
1324	HMGN1	2049.3	0.6	0.006288	-	NoDiff
1325	AC037198.1	167.4	-1.4	0.0063	-	groupB UP
1326	ITGB8	1878.8	0.4	0.00631	-	NoDiff
1327	MYL6	12285.5	-0.6	0.006365	-	NoDiff
1328	TPX2	254.1	0.8	0.006412	-	NoDiff
1329	MON1B	1069.5	-0.4	0.006426	-	NoDiff
1330	SMC4	984.1	0.5	0.006459	-	NoDiff
1331	OMD	305.1	-1.8	0.006482	-	groupB UP
1332	NOSTRIN	20.4	-1.3	0.006482	-	groupB UP
1333	RSAD2	9.9	3.1	0.00649	-	groupA UP
1334	IQCA1	30.8	1.7	0.006491	-	groupA UP
1335	PARVA	7567.8	-0.4	0.006515	-	NoDiff
1336	AC012349.1	80.2	-1.2	0.006515	-	groupB UP
1337	NIPSNAP3A	282.7	-0.5	0.006592	-	NoDiff
1338	PHKA1	493	-0.9	0.0066	-	NoDiff
1339	ENOX2	350.9	-0.6	0.006604	-	NoDiff
1340	TRIB3	287.4	1	0.006627	-	groupA UP
1341	PRMT6	204.6	0.5	0.006663	-	NoDiff
1342	AC011611.3	89.7	1.2	0.006722	-	groupA UP
1343	TGIF2	238.7	0.5	0.00678	-	NoDiff
1344	SLC52A2	567.4	-0.4	0.00678	-	NoDiff
1345	TPK1	50.6	1.1	0.00678	-	groupA UP
1346	RUNX1	3430.1	-0.4	0.006799	-	NoDiff
1347	COL5A1	9245.7	0.5	0.006806	-	NoDiff
1348	PHF14	677.3	0.3	0.006822	-	NoDiff
1349	VPS8	817.5	0.3	0.006822	-	NoDiff
1350	FKRP	519.9	-0.4	0.006823	-	NoDiff
1351	CGGBP1	2183.7	-0.3	0.006842	-	NoDiff
1352	PLEKHJ1	491	-0.4	0.006863	-	NoDiff
1353	PKIA	249.7	1.3	0.006875	-	groupA UP
1354	TRAF3	589.4	0.4	0.006878	-	NoDiff
1355	NR3C2	78.8	1.3	0.006883	-	groupA UP
1356	GAS2L3	121.2	0.9	0.006887	-	NoDiff
1357	BBS9	545.9	0.4	0.006923	-	NoDiff
1358	TXNL1	1220	0.3	0.006925	-	NoDiff
1359	PAIP2B	28.6	-1.2	0.006961	-	groupB UP
1360	MTMR10	666.6	-0.7	0.006961	-	NoDiff
1361	CYFIP2	284.9	0.9	0.006994	-	NoDiff
1362	MFSD12	855.2	-0.4	0.006994	-	NoDiff
1363	PDLIM1	2868.5	-0.7	0.006997	-	NoDiff
1364	SLC27A4	392.3	-0.4	0.007014	-	NoDiff
1365	SEC16A	2618.7	-0.2	0.007022	-	NoDiff
1366	SLC19A2	265.8	-1	0.00706	-	groupB UP
1367	PLEC	20056.4	-0.8	0.00706	-	NoDiff
1368	FNBP1	1841.1	-0.7	0.00706	-	NoDiff
1369	SWAP70	3742	-0.6	0.007146	-	NoDiff
1370	NPC1L1	16.6	2.5	0.007147	-	groupA UP
1371	ZBTB2	566.4	0.5	0.007147	-	NoDiff
1372	C1QTNF5	464.1	-0.5	0.007147	-	NoDiff
1373	ZDHHC14	218.1	0.6	0.007167	-	NoDiff
1374	KCTD10	2866.7	-0.4	0.00721	-	NoDiff
1375	IRS1	3589.5	-0.7	0.007261	-	NoDiff
1376	LINC02352	8.1	-2.2	0.007289	-	groupB UP
1377	GRAMD2B	681.6	-1.1	0.007298	-	groupB UP
1378	ARID5A	473	-0.7	0.007303	-	NoDiff
1379	HEBP2	1183.9	-0.5	0.007334	-	NoDiff
1380	AKR1C1	12768.1	-1	0.007362	-	groupB UP
1381	AC060780.1	260	0.5	0.007362	-	NoDiff
1382	CPED1	2415	-1.1	0.007364	-	groupB UP
1383	PIM1	738.5	0.8	0.007364	-	NoDiff
1384	CADM1	110.6	1.5	0.007364	-	groupA UP
1385	GPER1	96.5	0.7	0.007385	-	NoDiff
1386	CYP24A1	14	3.9	0.007405	-	groupA UP
1387	SOX9	564.8	1.2	0.007405	-	groupA UP
1388	HSF1	1156.8	-0.4	0.007417	-	NoDiff
1389	SFT2D2	1833.4	-0.7	0.007427	-	NoDiff
1390	CACUL1	1086.5	-0.6	0.007444	-	NoDiff
1391	DNAJB12	1079	-0.3	0.007447	-	NoDiff
1392	KAZALD1	462.3	1	0.007485	-	groupA UP
1393	ADNP	1642.7	0.2	0.007582	-	NoDiff
1394	LDHA	13772.5	-0.8	0.007627	-	NoDiff
1395	ENTPD4	1650.2	-0.4	0.007631	-	NoDiff
1396	SAMD12	185.3	0.6	0.007647	-	NoDiff
1397	RBBP9	345.8	0.5	0.00767	-	NoDiff
1398	WHAMM	317.5	-0.5	0.007739	-	NoDiff
1399	AC138207.8	32.5	0.9	0.007741	-	NoDiff
1400	C17orf58	261.9	0.7	0.007747	-	NoDiff
1401	EXOSC10	1521	-0.6	0.007809	-	NoDiff
1402	NANS	552.4	-0.4	0.007851	-	NoDiff
1403	EPHA5	29.3	1.5	0.007851	-	groupA UP
1404	SCRN1	4953.8	-0.4	0.007866	-	NoDiff
1405	RSPO2	158.5	1.7	0.007874	-	groupA UP
1406	CUEDC1	1081.1	-0.6	0.007874	-	NoDiff
1407	PSEN1	1777.6	-0.4	0.007934	-	NoDiff
1408	LINC00205	638.6	0.4	0.007954	-	NoDiff
1409	PTPN11	7634.4	-0.4	0.007963	-	NoDiff
1410	GALT	274.1	0.5	0.007988	-	NoDiff
1411	SYNJ2	1089.7	0.5	0.008028	-	NoDiff
1412	LARP4B	1244.5	-0.6	0.008074	-	NoDiff
1413	AC125807.2	57.3	-0.9	0.008074	-	NoDiff
1414	ACTA2-AS1	34	-1.2	0.008075	-	groupB UP
1415	CACYBP	732.6	0.4	0.00811	-	NoDiff
1416	PLK2	520.8	0.9	0.008121	-	NoDiff
1417	SKP2	627.6	-0.8	0.008127	-	NoDiff
1418	DBNDD2	330.7	-0.8	0.008127	-	NoDiff
1419	A4GALT	1250.3	-0.5	0.008128	-	NoDiff
1420	SNAPC1	380.5	-0.7	0.008129	-	NoDiff
1421	MKRN2	951.4	-0.5	0.008129	-	NoDiff
1422	ZNF395	2997.2	-0.7	0.008183	-	NoDiff
1423	SOAT1	1244.3	-0.6	0.008206	-	NoDiff
1424	TRPV6	24.7	-1.8	0.008219	-	groupB UP
1425	AC007192.1	56.7	-9.3	0.008226	-	groupB UP
1426	PFN2	2472.1	0.3	0.00823	-	NoDiff
1427	INPP5K	736.5	-0.4	0.00823	-	NoDiff
1428	SNRPA	412.6	0.4	0.00824	-	NoDiff
1429	EPHB3	420.1	1.2	0.008278	-	groupA UP
1430	CCBE1	6633.5	-0.5	0.008278	-	NoDiff
1431	DNAJC3	2155.4	-0.4	0.00828	-	NoDiff
1432	CARD6	686.9	-0.3	0.00841	-	NoDiff
1433	COLQ	38.1	1.2	0.008446	-	groupA UP
1434	EIF4EBP2	3301.6	-0.7	0.008461	-	NoDiff
1435	SLC43A3	1250.1	0.4	0.008504	-	NoDiff
1436	FAM234B	268.8	-0.5	0.008514	-	NoDiff
1437	AP002807.1	35.3	-1	0.00853	-	groupB UP
1438	HMGN4	856.1	-0.3	0.008558	-	NoDiff
1439	ZSCAN26	355.8	0.5	0.008558	-	NoDiff
1440	CAV1	12230.4	-0.6	0.008559	-	NoDiff
1441	KNDC1	40.8	1.2	0.008643	-	groupA UP
1442	CCL8	14.4	3.6	0.008722	-	groupA UP
1443	TPST1	1927.6	0.5	0.008722	-	NoDiff
1444	PLCE1-AS1	6.4	-3.8	0.008722	-	groupB UP
1445	KCNS1	26.7	2.7	0.008735	-	groupA UP
1446	ABCC6	113.9	1	0.008761	-	groupA UP
1447	GNA12	2932.6	-0.4	0.008761	-	NoDiff
1448	AC016588.2	276.9	0.4	0.008761	-	NoDiff
1449	AC025423.4	196.9	0.5	0.008773	-	NoDiff
1450	GNG2	396.5	1.1	0.008825	-	groupA UP
1451	GBA	2700.3	0.2	0.008827	-	NoDiff
1452	DUSP3	2099.3	-0.5	0.008885	-	NoDiff
1453	PPP1R1B	96.5	3.1	0.008942	-	groupA UP
1454	PID1	1400.7	-0.6	0.008942	-	NoDiff
1455	C11orf88	15.5	-1.9	0.008967	-	groupB UP
1456	SRGAP3	106.4	0.8	0.008968	-	NoDiff
1457	B4GALNT4	51.5	1.3	0.008986	-	groupA UP
1458	WNT2	346.9	3	0.0091	-	groupA UP
1459	ZFYVE26	1038.4	0.4	0.009149	-	NoDiff
1460	TM2D1	823.7	-0.6	0.009149	-	NoDiff
1461	SAMD11	83.5	1.7	0.009165	-	groupA UP
1462	CHRDL2	88.5	1.2	0.009258	-	groupA UP
1463	TSPYL1	1830.5	0.2	0.009301	-	NoDiff
1464	AL080317.3	39.8	-0.9	0.009301	-	NoDiff
1465	AVEN	275.1	-0.7	0.009328	-	NoDiff
1466	NDEL1	1371.1	-0.3	0.009336	-	NoDiff
1467	YPEL3	969.2	-0.4	0.009348	-	NoDiff
1468	PLP2	1002.4	-0.4	0.009399	-	NoDiff
1469	SAMD3	14.9	1.6	0.009431	-	groupA UP
1470	NEGR1	1379.4	-1.3	0.009492	-	groupB UP
1471	AC009879.3	26.1	-2.1	0.009547	-	groupB UP
1472	OSR2	4523.7	0.7	0.009576	-	NoDiff
1473	OXCT1	932	-0.6	0.009591	-	NoDiff
1474	TBC1D19	596.3	0.8	0.009591	-	NoDiff
1475	BEST1	441.8	0.6	0.009597	-	NoDiff
1476	DPH3	841.6	-0.4	0.009611	-	NoDiff
1477	LYPD3	19.7	1.3	0.009612	-	groupA UP
1478	NAE1	705.6	-0.3	0.009634	-	NoDiff
1479	SELENOO	457.3	-0.5	0.009669	-	NoDiff
1480	ADAMTS7	1703.8	-0.8	0.009703	-	NoDiff
1481	SPOPL	478.3	-0.4	0.009703	-	NoDiff
1482	MAF1	2155.5	-0.3	0.00972	-	NoDiff
1483	USB1	635.6	-0.4	0.009739	-	NoDiff
1484	MRTFB	683.5	0.5	0.009774	-	NoDiff
1485	SEC16B	132.8	0.9	0.009833	-	NoDiff
1486	TSPYL4	492.4	0.4	0.009855	-	NoDiff
1487	RNF20	1294.2	0.3	0.009884	-	NoDiff
1488	TNFSF9	13.1	1.7	0.009886	-	groupA UP
1489	LINC00595	43.7	1.4	0.009936	-	groupA UP
1490	EPAS1	22160.7	0.6	0.009939	-	NoDiff
1491	NAP1L3	78.9	0.9	0.009958	-	NoDiff
1492	CERS6-AS1	37.7	-1.6	0.009958	-	groupB UP
1493	PCDHGC5	53.6	1.3	0.009958	-	groupA UP
1494	EPN2	1111.2	-0.4	0.009983	-	NoDiff
1495	RIOK3	1421.4	-0.4	0.009983	-	NoDiff
1496	AKNA	528.5	0.8	0.009983	-	NoDiff
1497	SLC8A1-AS1	86.9	0.9	0.01	-	NoDiff
1498	CPZ	1192.5	0.7	0.01002	-	NoDiff
1499	LRRN1	12.2	2.3	0.01002	-	groupA UP
1500	UBE2FP1	8.4	-2.3	0.0101	-	groupB UP
1501	AC022107.1	41.5	0.8	0.01013	-	NoDiff
1502	NAPA	1937.6	-0.3	0.01015	-	NoDiff
1503	AP001542.3	12.6	-2	0.01019	-	groupB UP
1504	GRIK4	46	2.1	0.01021	-	groupA UP
1505	STC1	938.2	-2.3	0.01025	-	groupB UP
1506	MRGPRF	3075.5	-0.5	0.01026	-	NoDiff
1507	LRRC17	1253.7	2.2	0.01039	-	groupA UP
1508	GPRASP1	190.6	0.8	0.01046	-	NoDiff
1509	NUDT3	1455.9	-0.4	0.01046	-	NoDiff
1510	RECQL	1481.8	-0.4	0.01056	-	NoDiff
1511	DNAJC6	54.6	-1.9	0.01058	-	groupB UP
1512	HS6ST1	1473.8	-0.5	0.01059	-	NoDiff
1513	TP53INP2	831.7	-0.6	0.01063	-	NoDiff
1514	SNX21	1055.6	0.7	0.01071	-	NoDiff
1515	EBPL	350.9	-0.5	0.01081	-	NoDiff
1516	ARAP3	297	0.5	0.01093	-	NoDiff
1517	AL356599.1	194.7	0.6	0.01093	-	NoDiff
1518	TRAPPC11	1248.3	-0.4	0.01106	-	NoDiff
1519	KDM1A	1227.4	0.2	0.01112	-	NoDiff
1520	TRIM41	946.7	-0.3	0.01112	-	NoDiff
1521	TMCO3	3666.8	-0.3	0.01117	-	NoDiff
1522	MAP2K3	1128.1	-0.7	0.01124	-	NoDiff
1523	FRK	185.5	0.5	0.01125	-	NoDiff
1524	SASS6	56.1	0.7	0.01125	-	NoDiff
1525	LRRN3	60.9	1.1	0.01135	-	groupA UP
1526	SLC4A4	297.4	0.7	0.01139	-	NoDiff
1527	GARS-DT	417.1	0.5	0.0114	-	NoDiff
1528	RAD21	2935.3	-0.4	0.01141	-	NoDiff
1529	RBMX	2927.9	0.4	0.01144	-	NoDiff
1530	PNRC1	2214.2	-0.4	0.01151	-	NoDiff
1531	PAMR1	6326.7	0.4	0.01161	-	NoDiff
1532	CPNE5	16.3	-1.7	0.01163	-	groupB UP
1533	NEBL	9	-3.9	0.01171	-	groupB UP
1534	SDHAF2	208.2	-0.5	0.01176	-	NoDiff
1535	TMEM87A	993.7	-0.4	0.01177	-	NoDiff
1536	ZSCAN2	101.6	0.6	0.01177	-	NoDiff
1537	ZNF766	260.6	0.5	0.01177	-	NoDiff
1538	RNPS1	1431.9	-0.2	0.01177	-	NoDiff
1539	ASB5	21.7	-2.5	0.01187	-	groupB UP
1540	AC093535.2	149.4	-1.5	0.01189	-	groupB UP
1541	MYLIP	337.8	0.4	0.0119	-	NoDiff
1542	MOK	118.8	0.5	0.0119	-	NoDiff
1543	PDGFRB	20329.5	-0.3	0.01192	-	NoDiff
1544	DUSP14	703.7	-0.5	0.01192	-	NoDiff
1545	SYT7	148.6	0.8	0.01196	-	NoDiff
1546	EMP2	1315.7	-0.5	0.01199	-	NoDiff
1547	DEGS1	2473.6	-0.3	0.01201	-	NoDiff
1548	TRHDE-AS1	315.9	0.5	0.01204	-	NoDiff
1549	SMOX	253.7	0.7	0.01214	-	NoDiff
1550	FAM45A	1523.7	-0.3	0.01214	-	NoDiff
1551	ANGEL1	367.1	0.3	0.01215	-	NoDiff
1552	ZNF248	290.5	0.7	0.01216	-	NoDiff
1553	COL4A5	440.7	0.9	0.01225	-	NoDiff
1554	IDH2	861	-0.5	0.01229	-	NoDiff
1555	TCHP	419.8	-0.3	0.01231	-	NoDiff
1556	DDX21	1279.8	-0.5	0.01233	-	NoDiff
1557	RRAS2	2958.5	-0.6	0.01234	-	NoDiff
1558	SEMA3B	1258.8	0.7	0.0124	-	NoDiff
1559	F10	289.3	-0.7	0.0124	-	NoDiff
1560	MYO1E	2309	-0.8	0.01253	-	NoDiff
1561	CNOT8	777.5	-0.5	0.01254	-	NoDiff
1562	TRIM5	549.9	0.6	0.01261	-	NoDiff
1563	AUP1	1378.6	-0.4	0.01275	-	NoDiff
1564	CDC73	978.8	-0.4	0.01275	-	NoDiff
1565	SLX4IP	97.9	0.6	0.01276	-	NoDiff
1566	CNPY4	511.3	0.4	0.01289	-	NoDiff
1567	STK17B	1490.7	-1	0.01293	-	groupB UP
1568	AL353622.1	20.3	1.2	0.01293	-	groupA UP
1569	FUT11	708.5	-0.3	0.01294	-	NoDiff
1570	TSPYL2	742.5	0.6	0.01295	-	NoDiff
1571	SNX33	2969.6	-0.3	0.013	-	NoDiff
1572	IRAK3	644.6	-0.8	0.01308	-	NoDiff
1573	KIAA0408	246.7	-1.4	0.01308	-	groupB UP
1574	UTP20	820.3	-0.5	0.01313	-	NoDiff
1575	MBNL2	1659.4	-0.3	0.01313	-	NoDiff
1576	LDLRAD3	288.5	-0.6	0.01322	-	NoDiff
1577	AC107959.1	47.1	0.9	0.01329	-	NoDiff
